TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2009,5,20,19,28,9XX GRANVILLE ST,Central Business District,508739,5190037
Break and Enter Residential/Other,2004,1,25,19,27,11XX CONNAUGHT DR,Shaughnessy,508087,5054238
Other Theft,2009,3,14,19,27,13XX ROBSON ST,West End,508731,5439104
Other Theft,2005,9,3,19,27,12XX RICHARDS ST,Central Business District,495220,5066277
Break and Enter Commercial,2014,6,11,19,26,10XX BEACH AVE,Central Business District,509016,5353364
Theft of Bicycle,2019,10,28,19,26,E GEORGIA ST / MAIN ST,Strathcona,501438,5414797
Break and Enter Residential/Other,2008,8,29,19,25,11XX COMOX ST,West End,509909,5268115
Other Theft,2003,10,2,19,25,12XX RICHARDS ST,Central Business District,503547,5350964
Theft of Bicycle,2019,4,16,19,25,EXPO BLVD / SMITHE ST,Central Business District,497829,5331490
Vehicle Collision or Pedestrian Struck (with Fatality),2010,1,19,19,25,E KING EDWARD AVE / ST GEORGE ST,Riley Park,506426,5322537
Other Theft,2012,11,17,19,25,14XX E BROADWAY AVE,Kensington-Cedar Cottage,504911,5438572
Theft of Bicycle,2004,4,21,19,25,E 56TH AVE / FLEMING ST,Victoria-Fraserview,497589,5427315
Other Theft,2018,4,19,19,24,12XX W BROADWAY AVE,Fairview,503986,5423496
Other Theft,2019,4,28,19,24,12XX ROBSON ST,West End,504433,5278148
Vehicle Collision or Pedestrian Struck (with Fatality),2019,2,8,19,24,X BLOCK W HASTINGS ST,Central Business District,493197,5254810
Mischief,2003,5,20,19,23,10XX BARCLAY ST,West End,510466,5298671
Theft of Bicycle,2019,6,16,19,23,E GEORGIA ST / GORE AVE,Strathcona,492660,5000024
Mischief,2016,4,26,19,22,10XX BROUGHTON ST,West End,503923,5013446
Break and Enter Commercial,2011,6,6,19,22,10XX BARCLAY ST,West End,505262,5288075
Vehicle Collision or Pedestrian Struck (with Injury),2010,5,5,19,22,9XX BLOCK W 12TH AVE,Fairview,495447,5027556
Other Theft,2005,3,2,19,22,12XX RICHARDS ST,Central Business District,507376,5014294
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,20,19,21,ALBERNI ST / BURRARD ST,West End,493692,5337292
Vehicle Collision or Pedestrian Struck (with Injury),2012,6,27,19,21,ABBOTT ST / W PENDER ST,Central Business District,508910,5363942
Other Theft,2009,5,23,19,21,14XX E 41ST AVE,Kensington-Cedar Cottage,491538,5012713
Theft from Vehicle,2004,3,19,19,20,13XX ROBSON ST,West End,492750,5408252
Theft from Vehicle,2008,2,18,19,20,13XX ROBSON ST,West End,510589,5162706
Mischief,2010,5,29,19,20,10XX BURRARD ST,West End,490031,5441266
Other Theft,2004,3,9,19,20,12XX RICHARDS ST,Central Business District,495408,5406001
Break and Enter Commercial,2014,3,1,19,20,10XX ALBERNI ST,West End,500658,5108540
Mischief,2006,9,18,19,20,10XX ALBERNI ST,West End,496080,5414697
Mischief,2007,11,8,19,20,10XX ALBERNI ST,West End,511094,5214294
Vehicle Collision or Pedestrian Struck (with Injury),2010,12,12,19,20,9XX BLOCK MAINLAND ST,Central Business District,498507,5081568
Vehicle Collision or Pedestrian Struck (with Injury),2006,4,1,19,20,9XX BLOCK MAIN ST,Strathcona,497763,5362461
Break and Enter Residential/Other,2005,9,5,19,20,11XX E 12TH AVE,Mount Pleasant,499880,5092577
Theft from Vehicle,2007,7,7,19,20,13XX SE MARINE DR,Sunset,508474,5184015
Other Theft,2003,6,5,19,20,14XX E HASTINGS ST,Grandview-Woodland,498662,5001579
Vehicle Collision or Pedestrian Struck (with Injury),2019,12,9,19,19,9XX BLOCK BURRARD ST,West End,498561,5084079
Vehicle Collision or Pedestrian Struck (with Injury),2010,2,6,19,19,9XX BLOCK VENABLES ST,Strathcona,509577,5204254
Vehicle Collision or Pedestrian Struck (with Injury),2007,11,12,19,19,8XX BLOCK VICTORIA DR,Grandview-Woodland,493016,5130419
Mischief,2004,6,10,19,18,19XX W 15TH AVE,Kitsilano,499212,5453463
Vehicle Collision or Pedestrian Struck (with Fatality),2004,10,24,19,18,VICTORIA DR / GRAVELEY ST,Grandview-Woodland,493672,5313300
Vehicle Collision or Pedestrian Struck (with Fatality),2016,3,31,19,17,13XX BLOCK SW MARINE DR,Marpole,501760,5002131
Other Theft,2004,7,1,19,17,12XX RICHARDS ST,Central Business District,491265,5110293
Vehicle Collision or Pedestrian Struck (with Injury),2013,4,20,19,17,ABBOTT ST / W HASTINGS ST,Central Business District,499837,5175482
Break and Enter Commercial,2007,2,4,19,16,6X E 2ND AVE,Mount Pleasant,499088,5235585
Break and Enter Commercial,2003,10,14,19,15,20XX W 41ST AVE,Kerrisdale,499449,5406344
Break and Enter Residential/Other,2015,1,8,19,15,11XX BEACH AVE,West End,495438,5016457
Theft from Vehicle,2014,7,3,19,15,13XX THURLOW ST,West End,491255,5241337
Break and Enter Residential/Other,2008,4,5,19,15,11XX BURNABY ST,West End,505553,5064282
Theft from Vehicle,2003,9,21,19,15,13XX ROBSON ST,West End,511130,5362872
Theft from Vehicle,2004,2,20,19,15,13XX ROBSON ST,West End,491819,5197395
Vehicle Collision or Pedestrian Struck (with Fatality),2016,8,29,19,15,12XX BLOCK SEYMOUR ST,Central Business District,495302,5409936
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,10,19,15,8XX BLOCK W BROADWAY AVE,Fairview,497309,5074480
Theft of Bicycle,2012,7,11,19,15,E 26TH AVE / QUEBEC ST,Riley Park,503472,5281405
Theft of Bicycle,2011,5,6,19,14,E 49TH AVE / FRASER ST,Sunset,508737,5057523
Vehicle Collision or Pedestrian Struck (with Injury),2012,12,6,19,14,ADANAC ST / NANAIMO ST,Grandview-Woodland,493714,5301159
Other Theft,2010,6,8,19,13,12XX SEYMOUR ST,Central Business District,491553,5442427
Theft from Vehicle,2004,5,4,19,12,13XX ROBSON ST,West End,508046,5129492
Mischief,2009,2,28,19,10,10XX BEACH AVE,West End,502322,5276646
Theft from Vehicle,2008,4,21,19,10,13XX ROBSON ST,West End,494697,5375484
Other Theft,2008,6,7,19,10,12XX GRANVILLE ST,Central Business District,491308,5060411
Other Theft,2012,11,24,19,10,12XX W PENDER ST,Central Business District,510032,5093610
Other Theft,2009,11,8,19,10,12XX W PENDER ST,Central Business District,502599,5461656
Vehicle Collision or Pedestrian Struck (with Injury),2004,12,22,19,10,8XX EXPO BLVD,Central Business District,508658,5085379
Theft of Vehicle,2009,3,5,19,10,E 15TH AVE / PRINCE EDWARD ST,Mount Pleasant,504561,5051613
Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,28,19,10,WINDSOR ST / E KING EDWARD AVE,Kensington-Cedar Cottage,493783,5434634
Other Theft,2019,8,31,19,9,12XX ROBSON ST,West End,498340,5394120
Other Theft,2018,11,2,19,9,12XX GRANVILLE ST,Central Business District,505020,5335268
Other Theft,2004,12,19,19,9,12XX RICHARDS ST,Central Business District,505860,5069967
Other Theft,2014,10,12,19,9,12XX RICHARDS ST,Central Business District,497270,5334431
Other Theft,2012,8,18,19,9,14XX COMMERCIAL DR,Grandview-Woodland,506117,5216304
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,31,19,8,9XX BLOCK PRINCESS AVE,Strathcona,494073,5150841
Mischief,2013,7,8,19,7,19XX W 4TH AVE,Kitsilano,494812,5443728
Vehicle Collision or Pedestrian Struck (with Injury),2006,12,4,19,7,ALDER ST / W 12TH AVE,Fairview,510064,5124659
Other Theft,2014,2,20,19,7,12XX GRANVILLE ST,Central Business District,494477,5273996
Other Theft,2013,3,10,19,7,12XX W PENDER ST,Central Business District,505226,5289325
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,18,19,7,8XX W PENDER ST,Central Business District,505828,5364013
Vehicle Collision or Pedestrian Struck (with Injury),2009,2,23,19,6,90XX BLOCK SHAUGHNESSY ST,Marpole,503727,5272284
Other Theft,2009,2,10,19,6,12XX SEYMOUR ST,Central Business District,505160,5426168
Other Theft,2003,11,25,19,6,12XX RICHARDS ST,Central Business District,501163,5309275
Mischief,2019,8,3,19,5,19XX W 2ND AVE,Kitsilano,503853,5435260
Other Theft,2008,4,17,19,5,12XX ROBSON ST,West End,508873,5363915
Other Theft,2003,8,1,19,5,12XX GRANVILLE ST,Central Business District,500142,5401162
Vehicle Collision or Pedestrian Struck (with Injury),2008,10,28,19,5,8XX BLOCK W GEORGIA ST,Central Business District,495892,5147883
Theft of Vehicle,2008,10,19,19,5,E 10TH AVE / MAIN ST,Mount Pleasant,507832,5263693
Theft of Bicycle,2019,7,30,19,5,E 8TH AVE / KINGSWAY AVE,Mount Pleasant,490384,5296827
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,25,19,5,9XX BLOCK MAIN ST,Strathcona,508422,5137252
Theft of Vehicle,2005,3,14,19,5,E 26TH AVE / SOPHIA ST,Riley Park,502609,5265087
Break and Enter Residential/Other,2004,12,10,19,4,11XX BEACH AVE,West End,497276,5337574
Other Theft,2010,8,26,19,4,12XX SEYMOUR ST,Central Business District,497843,5083522
Vehicle Collision or Pedestrian Struck (with Injury),2020,1,7,19,3,ALBERNI ST / BIDWELL ST,West End,492396,5008990
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,14,19,3,9XX BLOCK BUTE ST,West End,491290,5017908
Other Theft,2019,10,19,19,3,12XX RICHARDS ST,Central Business District,506640,5089997
Other Theft,2012,11,15,19,2,12XX RICHARDS ST,Central Business District,504905,5415043
Vehicle Collision or Pedestrian Struck (with Fatality),2014,11,27,19,1,PARK DR / OAK ST,Marpole,508882,5101216
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,28,19,1,9XX BLOCK SW MARINE DR,Marpole,494836,5173853
Other Theft,2013,9,10,19,1,12XX SEYMOUR ST,Central Business District,504044,5053853
Other Theft,2014,10,21,19,1,12XX SEYMOUR ST,Central Business District,502797,5350330
Break and Enter Commercial,2013,7,18,19,1,10XX ALBERNI ST,West End,497309,5238258
Vehicle Collision or Pedestrian Struck (with Injury),2014,1,2,19,1,ABBOTT ST / W HASTINGS ST,Central Business District,501728,5039765
Break and Enter Commercial,2007,7,10,19,0,20XX W 41ST AVE,Kerrisdale,494103,5046602
Break and Enter Commercial,2016,9,2,19,0,20XX W 12TH AVE,Kitsilano,495969,5087243
Mischief,2009,12,8,19,0,19XX W 36TH AVE,Shaughnessy,506861,5301922
Mischief,2015,4,3,19,0,19XX W 13TH AVE,Kitsilano,503586,5016742
Mischief,2017,5,15,19,0,19XX W 45TH AVE,Kerrisdale,497748,5449120
Theft of Bicycle,2009,12,11,19,0,EAST BLVD / W 57TH AVE,Kerrisdale,511161,5183708
Mischief,2003,7,2,19,0,19XX W 3RD AVE,Kitsilano,491052,5462002
Mischief,2017,12,4,19,0,19XX W 2ND AVE,Kitsilano,507965,5008884
Mischief,2007,10,6,19,0,19XX W 14TH AVE,Kitsilano,500709,5424514
Mischief,2019,4,19,19,0,19XX W 11TH AVE,Kitsilano,503821,5383092
Mischief,2020,1,3,19,0,19XX W 1ST AVE,Kitsilano,504496,5093514
Mischief,2016,7,22,19,0,19XX W 4TH AVE,Kitsilano,508394,5254324
Mischief,2019,11,15,19,0,19XX W 15TH AVE,Kitsilano,504068,5006278
Mischief,2013,8,28,19,0,19XX W 6TH AVE,Kitsilano,500603,5071191
Mischief,2010,7,8,19,0,19XX W 4TH AVE,Kitsilano,496956,5287953
Mischief,2016,1,22,19,0,19XX W 2ND AVE,Kitsilano,505173,5309690
Break and Enter Commercial,2008,5,2,19,0,14XX CREEKSIDE DR,Fairview,492939,5014004
Break and Enter Residential/Other,2004,12,29,19,0,11XX DENMAN ST,West End,503771,5412118
Break and Enter Residential/Other,2005,4,10,19,0,11XX DENMAN ST,West End,504248,5259533
Mischief,2003,2,5,19,0,10XX BIDWELL ST,West End,504340,5223735
Theft from Vehicle,2012,11,2,19,0,13XX W 46TH AVE,Oakridge,503020,5436938
Theft from Vehicle,2008,10,15,19,0,13XX W 14TH AVE,Fairview,491036,5440110
Theft from Vehicle,2006,2,6,19,0,13XX W 47TH AVE,Oakridge,505390,5361099
Theft from Vehicle,2006,2,25,19,0,13XX W 46TH AVE,Oakridge,503868,5068291
Theft from Vehicle,2003,10,15,19,0,13XX W 14TH AVE,Fairview,508499,5455481
Theft from Vehicle,2006,11,26,19,0,13XX W 14TH AVE,Fairview,491480,5108494
Theft from Vehicle,2010,3,1,19,0,13XX W 14TH AVE,Fairview,494548,5310756
Theft from Vehicle,2005,12,7,19,0,13XX W 4TH AVE,Fairview,509416,5327710
Theft from Vehicle,2010,4,30,19,0,13XX W 4TH AVE,Fairview,505503,5012988
Theft from Vehicle,2017,11,28,19,0,13XX W 4TH AVE,Fairview,497556,5280899
Theft from Vehicle,2014,9,2,19,0,13XX W 15TH AVE,Fairview,493328,5418528
Theft from Vehicle,2005,11,10,19,0,13XX W 4TH AVE,Fairview,507591,5234745
Theft from Vehicle,2011,3,9,19,0,13XX W 11TH AVE,Fairview,494776,5403585
Theft from Vehicle,2003,7,29,19,0,13XX W 15TH AVE,Shaughnessy,510336,5038079
Theft from Vehicle,2004,8,19,19,0,13XX W 10TH AVE,Fairview,495993,5328182
Theft from Vehicle,2004,7,29,19,0,13XX W 15TH AVE,Fairview,498210,5275203
Mischief,2014,10,13,19,0,10XX BEACH AVE,West End,510246,5009987
Theft from Vehicle,2003,8,18,19,0,13XX W 11TH AVE,Fairview,493187,5299717
Theft from Vehicle,2009,2,15,19,0,13XX W 11TH AVE,Fairview,506634,5299064
Theft from Vehicle,2009,3,1,19,0,13XX W 11TH AVE,Fairview,499350,5113316
Theft from Vehicle,2004,3,8,19,0,13XX W 15TH AVE,Shaughnessy,495072,5162431
Theft from Vehicle,2010,5,22,19,0,13XX W 12TH AVE,Fairview,511112,5324479
Mischief,2004,11,12,19,0,10XX BROUGHTON ST,West End,497655,5360202
Theft from Vehicle,2018,5,8,19,0,13XX W 13TH AVE,Fairview,506529,5440598
Break and Enter Commercial,2016,3,6,19,0,10XX BEACH AVE,Central Business District,500590,5461507
Theft from Vehicle,2015,12,17,19,0,13XX W 11TH AVE,Fairview,494803,5338519
Theft from Vehicle,2018,8,8,19,0,13XX W 12TH AVE,Fairview,503506,5208380
Theft from Vehicle,2008,6,25,19,0,13XX W 10TH AVE,Fairview,501180,5035200
Mischief,2008,3,21,19,0,10XX BEACH AVE,Central Business District,492056,5420399
Mischief,2016,6,14,19,0,10XX BEACH AVE,Central Business District,497809,5439139
Theft from Vehicle,2004,3,4,19,0,13XX THURLOW ST,West End,499675,5379485
Break and Enter Residential/Other,2004,3,25,19,0,11XX CONNAUGHT DR,Shaughnessy,500777,5250973
Theft from Vehicle,2015,12,17,19,0,13XX ROBSON ST,West End,490952,5019467
Theft from Vehicle,2018,11,13,19,0,13XX ROBSON ST,West End,500837,5165777
Theft from Vehicle,2004,1,25,19,0,13XX ROBSON ST,West End,496774,5410234
Theft from Vehicle,2004,4,11,19,0,13XX ROBSON ST,West End,507882,5041212
Theft from Vehicle,2005,4,4,19,0,13XX ROBSON ST,West End,497874,5159632
Theft from Vehicle,2007,2,9,19,0,13XX ROBSON ST,West End,491000,5442321
Theft from Vehicle,2018,3,29,19,0,13XX ROBSON ST,West End,505402,5316598
Theft from Vehicle,2006,6,11,19,0,13XX ROBSON ST,West End,496195,5283584
Break and Enter Residential/Other,2006,12,27,19,0,10XX WOLFE AVE,Shaughnessy,493659,5389907
Break and Enter Residential/Other,2007,10,19,19,0,10XX WOLFE AVE,Shaughnessy,509500,5047801
Theft from Vehicle,2019,3,10,19,0,13XX SEYMOUR ST,Central Business District,503140,5202366
Other Theft,2003,2,25,19,0,12XX GRANVILLE ST,Central Business District,498629,5401463
Theft from Vehicle,2015,8,1,19,0,13XX ROLSTON ST,Central Business District,500137,5292908
Theft from Vehicle,2006,10,23,19,0,13XX SEYMOUR ST,Central Business District,501528,5305216
Theft from Vehicle,2006,11,19,19,0,13XX SEYMOUR ST,Central Business District,495356,5368755
Other Theft,2014,6,6,19,0,12XX SEYMOUR ST,Central Business District,510322,5198632
Mischief,2012,1,18,19,0,10XX BARCLAY ST,West End,495166,5314140
Mischief,2009,11,24,19,0,10XX BURRARD ST,West End,502777,5438314
Mischief,2016,1,13,19,0,10XX BARCLAY ST,West End,496315,5280827
Other Theft,2003,11,27,19,0,12XX RICHARDS ST,Central Business District,511054,5334580
Other Theft,2017,12,4,19,0,12XX RICHARDS ST,Central Business District,509597,5273346
Other Theft,2015,10,25,19,0,12XX W PENDER ST,Central Business District,494570,5294374
Other Theft,2016,11,8,19,0,12XX W PENDER ST,Central Business District,498853,5081741
Break and Enter Commercial,2006,11,5,19,0,10XX ALBERNI ST,West End,491361,5200406
Theft of Bicycle,2015,8,16,19,0,EXPO BLVD / NELSON ST,Central Business District,490895,5167087
Theft of Vehicle,2009,5,17,19,0,DUNSMUIR ST / RICHARDS ST,Central Business District,492262,5015962
Theft of Vehicle,2019,8,21,19,0,DUNSMUIR ST / RICHARDS ST,Central Business District,510518,5103259
Break and Enter Commercial,2018,10,5,19,0,68XX QUEBEC ST,Sunset,492512,5206532
Break and Enter Commercial,2007,2,3,19,0,66XX MAIN ST,Sunset,502401,5240771
Break and Enter Commercial,2008,5,17,19,0,66XX MAIN ST,Sunset,495245,5188105
Theft of Bicycle,2017,7,17,19,0,E 32ND AVE / MAIN ST,Riley Park,490808,5441437
Theft of Vehicle,2018,7,17,19,0,E 17TH AVE / MAIN ST,Riley Park,507778,5256031
Theft of Vehicle,2009,3,4,19,0,E 26TH AVE / MAIN ST,Riley Park,498048,5131763
Theft of Vehicle,2010,6,30,19,0,E 11TH AVE / MAIN ST,Mount Pleasant,509790,5234814
Theft of Vehicle,2008,1,18,19,0,E 14TH AVE / MAIN ST,Mount Pleasant,505607,5180345
Theft of Bicycle,2003,8,2,19,0,E BROADWAY AVE / MAIN ST,Mount Pleasant,493798,5447791
Theft of Bicycle,2009,9,23,19,0,E BROADWAY AVE / MAIN ST,Mount Pleasant,494481,5369159
Theft of Bicycle,2019,8,15,19,0,E BROADWAY AVE / MAIN ST,Mount Pleasant,509273,5309983
Theft of Bicycle,2013,2,20,19,0,E 22ND AVE / MAIN ST,Riley Park,492600,5168075
Theft of Vehicle,2008,8,7,19,0,E 22ND AVE / MAIN ST,Riley Park,502466,5139437
Theft of Vehicle,2008,2,8,19,0,E 10TH AVE / MAIN ST,Mount Pleasant,504622,5448483
Theft of Vehicle,2011,9,10,19,0,E 21ST AVE / MAIN ST,Riley Park,498610,5188303
Theft of Bicycle,2013,8,31,19,0,E 20TH AVE / MAIN ST,Riley Park,511116,5278560
Theft of Bicycle,2017,7,25,19,0,E 3RD AVE / MAIN ST,Mount Pleasant,502723,5247600
Theft of Bicycle,2018,9,12,19,0,E 2ND AVE / MAIN ST,Mount Pleasant,502565,5406501
Break and Enter Commercial,2007,6,21,19,0,6X KINGSWAY AVE,Mount Pleasant,492999,5250305
Break and Enter Commercial,2007,8,18,19,0,2XX E BROADWAY AVE,Mount Pleasant,495382,5061834
Theft of Bicycle,2015,8,4,19,0,E PENDER ST / MAIN ST,Strathcona,500666,5351829
Theft of Bicycle,2016,9,30,19,0,E PENDER ST / MAIN ST,Strathcona,500173,5406333
Theft of Bicycle,2008,6,5,19,0,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,500499,5325211
Theft of Bicycle,2012,4,25,19,0,E HASTINGS ST / MAIN ST,Strathcona,500985,5114655
Theft of Bicycle,2013,6,2,19,0,E HASTINGS ST / MAIN ST,Strathcona,490055,5251202
Break and Enter Commercial,2004,7,26,19,0,2XX E 8TH AVE,Mount Pleasant,502937,5303960
Break and Enter Commercial,2015,5,9,19,0,2XX E GEORGIA ST,Strathcona,499908,5179978
Theft of Bicycle,2016,8,3,19,0,E 6TH AVE / SCOTIA ST,Mount Pleasant,496308,5349226
Break and Enter Commercial,2016,11,28,19,0,20XX SCOTIA ST,Mount Pleasant,495862,5401152
Theft of Vehicle,2007,5,24,19,0,E 14TH AVE / SOPHIA ST,Mount Pleasant,497601,5044473
Theft of Vehicle,2017,3,8,19,0,E 13TH AVE / SOPHIA ST,Mount Pleasant,497616,5280160
Theft from Vehicle,2017,10,28,19,0,13XX STATION ST,Strathcona,502270,5224659
Theft of Bicycle,2009,4,27,19,0,E GEORGIA ST / GORE AVE,Strathcona,502551,5100804
Theft of Bicycle,2016,4,3,19,0,E 29TH AVE / PRINCE EDWARD ST,Riley Park,498108,5079371
Theft of Vehicle,2009,8,6,19,0,DUNLEVY AVE / UNION ST,Strathcona,493352,5237265
Theft of Bicycle,2014,6,15,19,0,E GEORGIA ST / JACKSON AVE,Strathcona,510490,5224706
Break and Enter Commercial,2005,3,7,19,0,66XX FRASER ST,Sunset,504495,5341783
Theft of Vehicle,2009,6,3,19,0,E 24TH AVE / FRASER ST,Riley Park,491376,5349500
Theft of Vehicle,2018,6,22,19,0,E 22ND AVE / FRASER ST,Riley Park,501109,5413986
Theft of Bicycle,2009,9,1,19,0,E 6TH AVE / PRINCE ALBERT ST,Mount Pleasant,499819,5077294
Theft of Vehicle,2012,1,30,19,0,E 16TH AVE / ST CATHERINES ST,Kensington-Cedar Cottage,508539,5377183
Break and Enter Residential/Other,2016,8,26,19,0,11XX E 60TH AVE,Sunset,494609,5293212
Theft of Bicycle,2013,8,17,19,0,E CORDOVA ST / RAYMUR AVE,Strathcona,500958,5237426
Break and Enter Residential/Other,2003,6,7,19,0,11XX E KING EDWARD AVE,Kensington-Cedar Cottage,501391,5406134
Break and Enter Residential/Other,2010,12,7,19,0,11XX E 13TH AVE,Mount Pleasant,503770,5173739
Break and Enter Residential/Other,2005,9,23,19,0,11XX E BROADWAY AVE,Mount Pleasant,502828,5032659
Break and Enter Residential/Other,2012,8,10,19,0,11XX E HASTINGS ST,Strathcona,490877,5343019
Break and Enter Residential/Other,2006,3,27,19,0,11XX E HASTINGS ST,Strathcona,497187,5158943
Mischief,2011,4,17,19,0,19XX VERNON DR,Strathcona,504373,5236996
Theft of Bicycle,2015,10,9,19,0,E 41ST AVE / KNIGHT ST,Sunset,505295,5074685
Theft of Vehicle,2010,1,31,19,0,E 22ND AVE / KNIGHT ST,Kensington-Cedar Cottage,510821,5052972
Break and Enter Commercial,2010,9,27,19,0,14XX E PENDER ST,Grandview-Woodland,491019,5432105
